Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
Ti,47.867,187.0,1.54,6.828,0.079,100.0,8.926390419023008,8.986299079553364,0.9933333333333333,0.006666666666666667,1.3389585628534513,0.00039221545338513354,0.39221545338513353,P-6m2,187,150,Mg149Ti
O,15.999,152.0,3.44,13.618,1.461,5.3,5.017820433967476,10.035640867934951,0.5,0.5,0.010035640867934952,0.0005441504092998094,0.5441504092998094,Fm-3m,225,2,MgO
V,50.9415,179.0,1.63,6.746,0.525,87.0,8.801583198701028,8.860654226880229,0.9933333333333333,0.006666666666666667,1.3202374798051542,0.0003862208240875293,0.3862208240875293,P-6m2,187,150,Mg149V
Cl,35.45,175.0,3.16,12.968,3.617,14.6,1.0676938654148085,3.2030815962444255,0.3333333333333333,0.6666666666666666,0.0016015407981222127,4.0291871296069024e-05,0.04029187129606902,Ama2,40,6,MgCl2
Cl,35.45,175.0,3.16,12.968,3.617,14.6,0.3835673719471957,2.68497160363037,0.14285714285714285,0.8571428571428571,0.00044749526727172836,7.041550110761388e-07,0.0007041550110761387,Cmmm,65,7,MgCl6
Mg,24.305,173.0,1.31,7.646,,71.2,9.427060377463437,9.490329239057154,0.9933333333333333,0.9933333333333333,0.009490329239057153,0.00040471606549101333,0.40471606549101335,P-6m2,187,150,AcMg149
Te,127.6,206.0,2.1,9.01,1.971,38.0,2.643116136254042,5.286232272508084,0.5,0.5,0.005286232272508084,7.828934581863265e-05,0.07828934581863264,F-43m,216,2,MgTe
O,15.999,152.0,3.44,13.618,1.461,5.3,4.865547395867272,9.731094791734543,0.5,0.5,0.009731094791734543,0.0005229889441012957,0.5229889441012957,P6_3/mmc,194,24,MgO
Mg,24.305,173.0,1.31,7.646,,71.2,9.634820441111241,9.699483665548229,0.9933333333333333,0.9933333333333333,0.00969948366554823,0.00041619645355682016,0.41619645355682017,P-6m2,187,150,LuMg149
Se,78.97,190.0,2.55,9.752,2.021,28.9,8.665102727439807,8.72325777930182,0.9933333333333333,0.006666666666666667,1.2997654091159712,0.00038043850517968983,0.38043850517968986,P-6m2,187,150,Mg149Se
Mg,24.305,173.0,1.31,7.646,,71.2,9.303036975223126,9.365473464989723,0.9933333333333333,0.9933333333333333,0.009365473464989723,0.0003984819399035531,0.39848193990355313,P-6m2,187,150,BaMg149
Mg,24.305,173.0,1.31,7.646,,71.2,9.496728407367987,9.560464839632202,0.9933333333333333,0.9933333333333333,0.009560464839632202,0.00040812954800522873,0.4081295480052287,P-6m2,187,150,NdMg149
Si,28.085,210.0,1.9,8.152,1.385,37.3,10.190971611674659,10.259367394303347,0.9933333333333333,0.006666666666666667,1.5286457417511987,0.0004471484109703474,0.4471484109703474,P-6m2,187,150,Mg149Si
