Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Ag,Li1 Ag3,4,1.0,3.0,0.0267618205452166,0.00669045513630415,0.0267618205452166,0.008920606848405533,66.23307127800165,862716,Li1 Ag3
Pd,Li3 Pd1,4,3.0,1.0,0.06688422274726827,0.016721055686817067,0.02229474091575609,0.06688422274726827,59.454199419911525,976281,Li3 Pd1
Mg,Li4 Mg2,6,4.0,2.0,0.08286040574900463,0.013810067624834105,0.02071510143725116,0.04143020287450232,123.4562621590867,976885,Li4 Mg2
Ge,Li8 Ge8,16,8.0,8.0,0.1188385595766467,0.007427409973540419,0.014854819947080837,0.014854819947080837,271.9984394666142,9918,Li8 Ge8
Si,Li4 Si2,6,4.0,2.0,0.06325667035633104,0.010542778392721839,0.01581416758908276,0.03162833517816552,100.12225475064447,27705,Li4 Si2
Ni,Li1 Ni3,4,1.0,3.0,0.09963000325530944,0.02490750081382736,0.09963000325530944,0.03321000108510314,41.96201582077629,1185266,Li1 Ni3
Mg,Li2 Mg4,6,2.0,4.0,0.08264905259950564,0.013774842099917606,0.04132452629975282,0.02066226314987641,128.91211796121559,1094587,Li2 Mg4
Ho,Li1 Ho3,4,1.0,3.0,0.02738708652864799,0.006846771632161998,0.02738708652864799,0.009129028842882664,115.7107879960666,973741,Li1 Ho3
Yb,Li6 Yb2,8,6.0,2.0,0.15792743945983284,0.019740929932479105,0.02632123990997214,0.07896371972991642,180.7001228602841,1185296,Li6 Yb2
Mg,Li2 Mg4,6,2.0,4.0,0.07809268088662188,0.013015446814436981,0.03904634044331094,0.01952317022165547,129.99757607093377,1094574,Li2 Mg4
Si,Li2 Si2,4,2.0,2.0,0.02725024231043725,0.006812560577609312,0.013625121155218625,0.013625121155218625,60.19557862795429,1222271,Li2 Si2
Sn,Li88 Sn20,108,88.0,20.0,1.21504986456707,0.011250461708954352,0.013807384824625795,0.0607524932283535,1918.7354260199065,1198729,Li88 Sn20
Eu,Li6 Eu2,8,6.0,2.0,0.0966666694003889,0.012083333675048612,0.016111111566731482,0.04833333470019445,223.87028362300848,1185227,Li6 Eu2
S,Li4 S2,6,4.0,2.0,0.040548414096649416,0.006758069016108236,0.010137103524162354,0.020274207048324708,95.02945187614684,557142,Li4 S2
N,Li6 N2,8,6.0,2.0,0.094629410306776,0.011828676288347,0.015771568384462666,0.047314705153388,67.32309527690863,2341,Li6 N2
O,Li1 O8,9,1.0,8.0,0.0024766046887967456,0.000275178298755194,0.0024766046887967456,0.0003095755860995932,100.41400956691592,1235185,Li1 O8
Pm,Li6 Pm2,8,6.0,2.0,0.08926719853274973,0.011158399816593716,0.014877866422124955,0.04463359926637486,197.7140917708282,1185206,Li6 Pm2
O,Li4 O4,8,4.0,4.0,0.050658370521865,0.006332296315233125,0.01266459263046625,0.01266459263046625,76.1528771822725,558312,Li4 O4
Mg,Li1 Mg5,6,1.0,5.0,0.06507235637662875,0.010845392729438125,0.06507235637662875,0.013014471275325751,131.45616159976652,1094609,Li1 Mg5
Cu,Li3 Cu1,4,3.0,1.0,0.06360536881638516,0.01590134220409629,0.02120178960546172,0.06360536881638516,58.82674047396062,975882,Li3 Cu1
Er,Li6 Er2,8,6.0,2.0,0.10525830082247903,0.013157287602809879,0.017543050137079838,0.052629150411239514,183.41433162761692,977195,Li6 Er2
S,Li1 S1,2,1.0,1.0,0.012524169941260911,0.006262084970630456,0.012524169941260911,0.012524169941260911,31.688800414402177,32641,Li1 S1
Te,Li2 Te1,3,2.0,1.0,0.022753398805435532,0.007584466268478511,0.011376699402717766,0.022753398805435532,69.09284363388754,2530,Li2 Te1
B,Li2 B6,8,2.0,6.0,0.020603288508729684,0.0025754110635912105,0.010301644254364842,0.003433881418121614,74.07347229281801,1222412,Li2 B6
Al,Li2 Al2,4,2.0,2.0,0.05488417941556024,0.01372104485389006,0.02744208970778012,0.02744208970778012,63.31241036387289,1067,Li2 Al2
Zn,Li4 Zn8,12,4.0,8.0,0.12182609625996108,0.010152174688330089,0.03045652406499027,0.015228262032495134,213.8542008208606,1210982,Li4 Zn8
Mg,Li2 Mg4,6,2.0,4.0,0.08375375826008166,0.01395895971001361,0.04187687913004083,0.020938439565020416,128.59092528573345,1094605,Li2 Mg4
Mg,Li2 Mg2,4,2.0,2.0,0.048956819343952664,0.012239204835988166,0.024478409671976332,0.024478409671976332,80.44073326460358,1185380,Li2 Mg2
Al,Li4 Al4,8,4.0,4.0,0.10154665254039882,0.012693331567549853,0.025386663135099706,0.025386663135099706,148.75196881440107,1079240,Li4 Al4
Al,Li3 Al1,4,3.0,1.0,0.06939848580894102,0.017349621452235255,0.02313282860298034,0.06939848580894102,66.53509398784078,975868,Li3 Al1
